Date,"Berri 1",C̫te-Sainte-Catherine,"Maisonneuve 1","Maisonneuve 2","du Parc",Pierre-Dupuy,Rachel1
01/01/2012,35,0,38,51,26,10,16
02/01/2012,83,1,68,153,53,6,43
03/01/2012,135,2,104,248,89,3,58
04/01/2012,144,1,116,318,111,8,61
05/01/2012,197,2,124,330,97,13,95
06/01/2012,146,0,98,244,86,4,75
07/01/2012,98,2,80,108,53,6,54
08/01/2012,95,1,62,98,64,11,63
09/01/2012,244,2,165,432,198,12,173
10/01/2012,397,3,238,563,275,18,241
11/01/2012,273,0,182,443,258,12,194
12/01/2012,157,1,134,261,137,9,63
13/01/2012,75,0,41,105,64,2,0
14/01/2012,32,0,54,56,19,0,1
15/01/2012,54,0,33,60,18,0,0
